Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,10,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,316.36,14673.64,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,11,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,347.99,14642.01,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,12,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,379.63,14610.37,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,13,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,411.27,14578.73,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,14,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,442.9,14547.1,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,15,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,474.54,14515.46,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,16,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,506.17,14483.83,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,17,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,537.81,14452.19,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,18,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,569.45,14420.55,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,19,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,601.08,14388.92,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,20,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,632.72,14357.28,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,21,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,664.35,14325.65,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,22,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,695.99,14294.01,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,23,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,727.63,14262.37,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,24,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,759.26,14230.74,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,25,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,790.9,14199.1,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,26,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,822.53,14167.47,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,27,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,854.17,14135.83,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,28,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,885.8,14104.2,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,29,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,917.44,14072.56,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,30,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,949.08,14040.92,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,31,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,980.71,14009.29,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,32,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1012.35,13977.65,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,33,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1043.98,13946.02,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,34,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1075.62,13914.38,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,35,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1107.26,13882.74,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,36,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1138.89,13851.11,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,37,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1170.53,13819.47,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,38,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1202.16,13787.84,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,39,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1233.8,13756.2,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,40,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1265.44,13724.56,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,41,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1297.07,13692.93,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,42,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1328.71,13661.29,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,43,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1360.34,13629.66,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,44,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1391.98,13598.02,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,45,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1423.62,13566.38,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,46,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1455.25,13534.75,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,47,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1486.89,13503.11,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,48,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1518.52,13471.48,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,49,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1550.16,13439.84,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,50,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1581.79,13408.21,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,51,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1613.43,13376.57,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,52,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1645.07,13344.93,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,53,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1676.7,13313.3,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,54,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1708.34,13281.66,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,55,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1739.97,13250.03,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,56,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1771.61,13218.39,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,57,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1803.25,13186.75,473.83,Does Not Exceed
