Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Stiff Fat Clay,CH,16,0.375,X-42,1,10,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,258.34,14731.66,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,11,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,284.17,14705.83,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,12,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,310.01,14679.99,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,13,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,335.84,14654.16,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,14,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,361.67,14628.33,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,15,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,387.51,14602.49,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,16,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,413.34,14576.66,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,17,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,439.18,14550.82,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,18,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,465.01,14524.99,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,19,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,490.84,14499.16,580.25,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,20,Rough Steel,1500,26.0,100.0,120.0,Parallel,475.54,516.68,14473.32,580.25,Does Not Exceed
