Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Stiff Lean Clay,CL,16,0.375,X-42,1,10,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,282.81,14707.19,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,11,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,311.09,14678.91,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,12,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,339.37,14650.63,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,13,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,367.65,14622.35,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,14,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,395.93,14594.07,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,15,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,424.22,14565.78,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,16,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,452.5,14537.5,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,17,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,480.78,14509.22,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,18,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,509.06,14480.94,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,19,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,537.34,14452.66,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,20,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,565.62,14424.38,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,21,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,593.9,14396.1,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,22,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,622.18,14367.82,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,23,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,650.46,14339.54,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,24,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,678.75,14311.25,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,25,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,707.03,14282.97,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,26,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,735.31,14254.69,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,27,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,763.59,14226.41,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,28,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,791.87,14198.13,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,29,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,820.15,14169.85,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,30,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,848.43,14141.57,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,31,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,876.71,14113.29,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,32,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,904.99,14085.01,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,33,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,933.28,14056.72,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,34,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,961.56,14028.44,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,35,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,989.84,14000.16,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,36,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1018.12,13971.88,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,37,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1046.4,13943.6,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,38,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1074.68,13915.32,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,39,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1102.96,13887.04,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,40,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1131.24,13858.76,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,41,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1159.52,13830.48,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,42,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1187.8,13802.2,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,43,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1216.09,13773.91,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,44,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1244.37,13745.63,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,45,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1272.65,13717.35,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,46,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1300.93,13689.07,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,47,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1329.21,13660.79,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,48,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1357.49,13632.51,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,49,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1385.77,13604.23,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,50,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1414.05,13575.95,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,51,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1442.33,13547.67,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,52,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1470.62,13519.38,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,53,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1498.9,13491.1,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,54,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1527.18,13462.82,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,55,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1555.46,13434.54,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,56,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1583.74,13406.26,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,57,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1612.02,13377.98,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,58,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1640.3,13349.7,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,59,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1668.58,13321.42,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,60,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1696.86,13293.14,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,61,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1725.15,13264.85,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,62,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1753.43,13236.57,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,63,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1781.71,13208.29,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,64,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,1809.99,13180.01,530.04,Does Not Exceed
