Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,10,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,198.011677,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,11,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,217.812844,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,12,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,237.614012,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,13,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,257.415179,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,14,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,277.216347,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,15,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,297.017515,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,16,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,316.818682,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,17,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,336.61985,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,18,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,356.421018,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,19,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,376.222185,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,20,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,396.023353,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,21,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,415.824521,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,22,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,435.625688,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,23,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,455.426856,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,24,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,475.228024,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,25,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,495.029191,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,26,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,514.830359,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,27,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,534.631527,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,28,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,554.432694,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,29,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,574.233862,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,30,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,594.03503,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,31,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,613.836197,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,32,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,633.637365,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,33,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,653.438532,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,34,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,673.2397,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,35,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,693.040868,6680.0,337.353843,Does Not Exceed
