Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Stiff Fat Clay,CH,16,0.375,X-42,1,10,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,179.652153,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,11,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,197.617369,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,12,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,215.582584,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,13,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,233.547799,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,14,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,251.513015,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,15,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,269.47823,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,16,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,287.443445,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,17,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,305.408661,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,18,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,323.373876,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,19,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,341.339091,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,20,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,359.304307,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,21,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,377.269522,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,22,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,395.234737,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,23,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,413.199953,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,24,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,431.165168,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,25,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,449.130383,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,26,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,467.095599,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,27,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,485.060814,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,28,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,503.026029,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,29,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,520.991245,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,30,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,538.95646,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,31,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,556.921675,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,32,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,574.886891,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,33,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,592.852106,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,34,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,610.817321,6680.0,371.829665,Does Not Exceed
Stiff Fat Clay,CH,16,0.375,X-42,1,35,Rough Steel,1500,26.0,100.0,120.0,Parallel,677.272662,628.782537,6680.0,371.829665,Does Not Exceed
