Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Stiff Lean Clay,CL,16,0.375,X-42,1,10,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,187.945028,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,11,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,206.739531,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,12,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,225.534034,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,13,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,244.328537,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,14,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,263.12304,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,15,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,281.917542,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,16,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,300.712045,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,17,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,319.506548,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,18,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,338.301051,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,19,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,357.095554,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,20,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,375.890056,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,21,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,394.684559,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,22,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,413.479062,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,23,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,432.273565,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,24,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,451.068068,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,25,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,469.862571,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,26,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,488.657073,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,27,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,507.451576,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,28,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,526.246079,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,29,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,545.040582,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,30,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,563.835085,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,31,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,582.629588,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,32,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,601.42409,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,33,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,620.218593,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,34,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,639.013096,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,35,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,657.807599,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,36,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,676.602102,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,37,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,695.396605,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,38,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,714.191107,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,39,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,732.98561,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,40,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,751.780113,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,41,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,770.574616,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,42,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,789.369119,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,43,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,808.163621,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,44,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,826.958124,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,45,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,845.752627,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,46,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,864.54713,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,47,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,883.341633,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,48,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,902.136136,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,49,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,920.930638,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,50,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,939.725141,6680.0,355.423076,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,51,Rough Steel,1500,30.0,100.0,120.0,Parallel,708.536064,958.519644,6680.0,355.423076,Does Not Exceed
