Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe Coating,Internal Pressure (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
16.0,0.375,X-42,Rough Steel,1500,5,5,25,0,110,Parallel,10.39,406.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,0,110,Perpendicular,13.44,525.87,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,0,120,Parallel,11.33,443.29,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,0,120,Perpendicular,14.67,573.67,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,0,125,Parallel,11.81,461.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,0,125,Perpendicular,15.28,597.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,0,130,Parallel,12.28,480.23,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,0,130,Perpendicular,15.89,621.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,0,140,Parallel,13.22,517.17,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,0,140,Perpendicular,17.11,669.28,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,50,110,Parallel,10.39,406.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,50,110,Perpendicular,13.44,525.87,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,50,120,Parallel,11.33,443.29,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,50,120,Perpendicular,14.67,573.67,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,50,125,Parallel,11.81,461.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,50,125,Perpendicular,15.28,597.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,50,130,Parallel,12.28,480.23,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,50,130,Perpendicular,15.89,621.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,50,140,Parallel,13.22,517.17,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,50,140,Perpendicular,17.11,669.28,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,100,110,Parallel,10.39,406.35,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,100,110,Perpendicular,13.44,525.87,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,100,120,Parallel,11.33,443.29,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,100,120,Perpendicular,14.67,573.67,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,100,125,Parallel,11.81,461.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,100,125,Perpendicular,15.28,597.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,25,100,130,Parallel,12.28,480.23,0,0.0,Exceeds
