Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),PGD Path (perpendicular/parallel to pipe),Soil Name,Soil Type,"Soil Effective Unit Weight (γ', psf)","Soil Cohesion (c, psf)",Soil Friction Angle (φ degrees)
16,0.375,X-42,1,10,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,11,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,12,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,13,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,14,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,15,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,16,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,17,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,18,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,19,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,20,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,21,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,22,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,23,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,24,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,25,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,26,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,27,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,28,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,29,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,30,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,31,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,32,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,33,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,34,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,35,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,36,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,37,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
16,0.375,X-42,1,38,Rough Steel,1500,Parallel,Stiff Lean Clay,CL,120.0,100.0,30.0
